datetime,total_number,day_type,ticket_type,service,Month_Year,Year,As Quarter,Fiscal Year
2021-12-01 16:00:00,160,Weekday,Fareless,US 20 Commuter (AM),2021-12,2021,2022Q2,2022
2022-01-01 16:00:00,167,Weekday,Fareless,US 20 Commuter (AM),2022-01,2022,2022Q3,2022
2022-02-01 16:00:00,178,Weekday,Fareless,US 20 Commuter (AM),2022-02,2022,2022Q3,2022
2022-03-01 16:00:00,249,Weekday,Fareless,US 20 Commuter (AM),2022-03,2022,2022Q3,2022
2022-04-01 16:00:00,247,Weekday,Fareless,US 20 Commuter (AM),2022-04,2022,2022Q4,2022
2022-05-01 16:00:00,273,Weekday,Fareless,US 20 Commuter (AM),2022-05,2022,2022Q4,2022
2022-06-01 16:00:00,252,Weekday,Fareless,US 20 Commuter (AM),2022-06,2022,2022Q4,2022
2022-07-01 16:00:00,229,Weekday,Fareless,US 20 Commuter (AM),2022-07,2022,2023Q1,2023
2022-08-01 16:00:00,300,Weekday,Fareless,US 20 Commuter (AM),2022-08,2022,2023Q1,2023
2022-09-01 16:00:00,332,Weekday,Fareless,US 20 Commuter (AM),2022-09,2022,2023Q1,2023
2022-10-01 16:00:00,361,Weekday,Fareless,US 20 Commuter (AM),2022-10,2022,2023Q2,2023
2022-11-01 16:00:00,407,Weekday,Fareless,US 20 Commuter (AM),2022-11,2022,2023Q2,2023
2022-12-01 16:00:00,299,Weekday,Fareless,US 20 Commuter (AM),2022-12,2022,2023Q2,2023
2023-01-01 16:00:00,216,Weekday,Fareless,US 20 Commuter (AM),2023-01,2023,2023Q3,2023
2023-02-01 16:00:00,333,Weekday,Fareless,US 20 Commuter (AM),2023-02,2023,2023Q3,2023
2023-03-01 16:00:00,328,Weekday,Fareless,US 20 Commuter (AM),2023-03,2023,2023Q3,2023
2023-04-01 16:00:00,358,Weekday,Fareless,US 20 Commuter (AM),2023-04,2023,2023Q4,2023
2023-05-01 16:00:00,412,Weekday,Fareless,US 20 Commuter (AM),2023-05,2023,2023Q4,2023
2023-06-01 16:00:00,376,Weekday,Fareless,US 20 Commuter (AM),2023-06,2023,2023Q4,2023
2023-07-01 16:00:00,361,Weekday,Fareless,US 20 Commuter (AM),2023-07,2023,2024Q1,2024
2023-08-01 16:00:00,512,Weekday,Fareless,US 20 Commuter (AM),2023-08,2023,2024Q1,2024
2023-09-01 16:00:00,447,Weekday,Fareless,US 20 Commuter (AM),2023-09,2023,2024Q1,2024
2021-12-01 16:00:00,182,Weekday,Fareless,US 20 Commuter (PM),2021-12,2021,2022Q2,2022
2022-01-01 16:00:00,213,Weekday,Fareless,US 20 Commuter (PM),2022-01,2022,2022Q3,2022
2022-02-01 16:00:00,308,Weekday,Fareless,US 20 Commuter (PM),2022-02,2022,2022Q3,2022
2022-03-01 16:00:00,358,Weekday,Fareless,US 20 Commuter (PM),2022-03,2022,2022Q3,2022
2022-04-01 16:00:00,371,Weekday,Fareless,US 20 Commuter (PM),2022-04,2022,2022Q4,2022
2022-05-01 16:00:00,428,Weekday,Fareless,US 20 Commuter (PM),2022-05,2022,2022Q4,2022
2022-06-01 16:00:00,434,Weekday,Fareless,US 20 Commuter (PM),2022-06,2022,2022Q4,2022
2022-07-01 16:00:00,410,Weekday,Fareless,US 20 Commuter (PM),2022-07,2022,2023Q1,2023
2022-08-01 16:00:00,504,Weekday,Fareless,US 20 Commuter (PM),2022-08,2022,2023Q1,2023
2022-09-01 16:00:00,538,Weekday,Fareless,US 20 Commuter (PM),2022-09,2022,2023Q1,2023
2022-10-01 16:00:00,528,Weekday,Fareless,US 20 Commuter (PM),2022-10,2022,2023Q2,2023
2022-11-01 16:00:00,611,Weekday,Fareless,US 20 Commuter (PM),2022-11,2022,2023Q2,2023
2022-12-01 16:00:00,597,Weekday,Fareless,US 20 Commuter (PM),2022-12,2022,2023Q2,2023
2023-01-01 16:00:00,429,Weekday,Fareless,US 20 Commuter (PM),2023-01,2023,2023Q3,2023
2023-02-01 16:00:00,660,Weekday,Fareless,US 20 Commuter (PM),2023-02,2023,2023Q3,2023
2023-03-01 16:00:00,651,Weekday,Fareless,US 20 Commuter (PM),2023-03,2023,2023Q3,2023
2023-04-01 16:00:00,554,Weekday,Fareless,US 20 Commuter (PM),2023-04,2023,2023Q4,2023
2023-05-01 16:00:00,982,Weekday,Fareless,US 20 Commuter (PM),2023-05,2023,2023Q4,2023
2023-06-01 16:00:00,624,Weekday,Fareless,US 20 Commuter (PM),2023-06,2023,2023Q4,2023
2023-07-01 16:00:00,571,Weekday,Fareless,US 20 Commuter (PM),2023-07,2023,2024Q1,2024
2023-08-01 16:00:00,571,Weekday,Fareless,US 20 Commuter (PM),2023-08,2023,2024Q1,2024
2023-09-01 16:00:00,421,Weekday,Fareless,US 20 Commuter (PM),2023-09,2023,2024Q1,2024
2021-12-01 16:00:00,553,Weekday,Fareless,Campus Connector 1,2021-12,2021,2022Q2,2022
2022-01-01 16:00:00,1358,Weekday,Fareless,Campus Connector 1,2022-01,2022,2022Q3,2022
2022-02-01 16:00:00,1157,Weekday,Fareless,Campus Connector 1,2022-02,2022,2022Q3,2022
2022-03-01 16:00:00,1002,Weekday,Fareless,Campus Connector 1,2022-03,2022,2022Q3,2022
2022-04-01 16:00:00,1238,Weekday,Fareless,Campus Connector 1,2022-04,2022,2022Q4,2022
2022-05-01 16:00:00,1215,Weekday,Fareless,Campus Connector 1,2022-05,2022,2022Q4,2022
2022-06-01 16:00:00,532,Weekday,Fareless,Campus Connector 1,2022-06,2022,2022Q4,2022
2022-07-01 16:00:00,478,Weekday,Fareless,Campus Connector 1,2022-07,2022,2023Q1,2023
2022-08-01 16:00:00,528,Weekday,Fareless,Campus Connector 1,2022-08,2022,2023Q1,2023
2022-09-01 16:00:00,1087,Weekday,Fareless,Campus Connector 1,2022-09,2022,2023Q1,2023
2022-10-01 16:00:00,2805,Weekday,Fareless,Campus Connector 1,2022-10,2022,2023Q2,2023
2022-11-01 16:00:00,2275,Weekday,Fareless,Campus Connector 1,2022-11,2022,2023Q2,2023
2022-12-01 16:00:00,813,Weekday,Fareless,Campus Connector 1,2022-12,2022,2023Q2,2023
2023-01-01 16:00:00,1702,Weekday,Fareless,Campus Connector 1,2023-01,2023,2023Q3,2023
2023-02-01 16:00:00,2394,Weekday,Fareless,Campus Connector 1,2023-02,2023,2023Q3,2023
2023-03-01 16:00:00,1433,Weekday,Fareless,Campus Connector 1,2023-03,2023,2023Q3,2023
2023-04-01 16:00:00,2306,Weekday,Fareless,Campus Connector 1,2023-04,2023,2023Q4,2023
2023-05-01 16:00:00,2317,Weekday,Fareless,Campus Connector 1,2023-05,2023,2023Q4,2023
2023-06-01 16:00:00,1321,Weekday,Fareless,Campus Connector 1,2023-06,2023,2023Q4,2023
2023-07-01 16:00:00,605,Weekday,Fareless,Campus Connector 1,2023-07,2023,2024Q1,2024
2023-08-01 16:00:00,586,Weekday,Fareless,Campus Connector 1,2023-08,2023,2024Q1,2024
2023-09-01 16:00:00,1362,Weekday,Fareless,Campus Connector 1,2023-09,2023,2024Q1,2024
2021-12-01 16:00:00,439,Weekday,Fareless,Campus Connector 2,2021-12,2021,2022Q2,2022
2022-01-01 16:00:00,823,Weekday,Fareless,Campus Connector 2,2022-01,2022,2022Q3,2022
2022-02-01 16:00:00,865,Weekday,Fareless,Campus Connector 2,2022-02,2022,2022Q3,2022
2022-03-01 16:00:00,819,Weekday,Fareless,Campus Connector 2,2022-03,2022,2022Q3,2022
2022-04-01 16:00:00,949,Weekday,Fareless,Campus Connector 2,2022-04,2022,2022Q4,2022
2022-05-01 16:00:00,973,Weekday,Fareless,Campus Connector 2,2022-05,2022,2022Q4,2022
2022-06-01 16:00:00,690,Weekday,Fareless,Campus Connector 2,2022-06,2022,2022Q4,2022
2022-07-01 16:00:00,601,Weekday,Fareless,Campus Connector 2,2022-07,2022,2023Q1,2023
2022-08-01 16:00:00,544,Weekday,Fareless,Campus Connector 2,2022-08,2022,2023Q1,2023
2022-09-01 16:00:00,1086,Weekday,Fareless,Campus Connector 2,2022-09,2022,2023Q1,2023
2022-10-01 16:00:00,2096,Weekday,Fareless,Campus Connector 2,2022-10,2022,2023Q2,2023
2022-11-01 16:00:00,1414,Weekday,Fareless,Campus Connector 2,2022-11,2022,2023Q2,2023
2022-12-01 16:00:00,690,Weekday,Fareless,Campus Connector 2,2022-12,2022,2023Q2,2023
2023-01-01 16:00:00,1118,Weekday,Fareless,Campus Connector 2,2023-01,2023,2023Q3,2023
2023-02-01 16:00:00,1584,Weekday,Fareless,Campus Connector 2,2023-02,2023,2023Q3,2023
2023-03-01 16:00:00,1090,Weekday,Fareless,Campus Connector 2,2023-03,2023,2023Q3,2023
2023-04-01 16:00:00,1563,Weekday,Fareless,Campus Connector 2,2023-04,2023,2023Q4,2023
2023-05-01 16:00:00,1750,Weekday,Fareless,Campus Connector 2,2023-05,2023,2023Q4,2023
2023-06-01 16:00:00,965,Weekday,Fareless,Campus Connector 2,2023-06,2023,2023Q4,2023
2023-07-01 16:00:00,511,Weekday,Fareless,Campus Connector 2,2023-07,2023,2024Q1,2024
2023-08-01 16:00:00,690,Weekday,Fareless,Campus Connector 2,2023-08,2023,2024Q1,2024
2023-09-01 16:00:00,990,Weekday,Fareless,Campus Connector 2,2023-09,2023,2024Q1,2024
