datetime,total_number,day_type,ticket_type,service,ticket_group,Month_Year,Year-Month,Year,As Quarter,Fiscal Year
12/1/2021 16:00,553,Weekday,Fareless,Campus Connector 1,Anonymous Ticket,2021-12,2021-12,2021,2022Q2,2022
1/1/2022 16:00,1358,Weekday,Fareless,Campus Connector 1,Anonymous Ticket,2022-01,2022-01,2022,2022Q3,2022
2/1/2022 16:00,1157,Weekday,Fareless,Campus Connector 1,Anonymous Ticket,2022-02,2022-02,2022,2022Q3,2022
3/1/2022 16:00,1002,Weekday,Fareless,Campus Connector 1,Anonymous Ticket,2022-03,2022-03,2022,2022Q3,2022
4/1/2022 16:00,1238,Weekday,Fareless,Campus Connector 1,Anonymous Ticket,2022-04,2022-04,2022,2022Q4,2022
5/1/2022 16:00,1215,Weekday,Fareless,Campus Connector 1,Anonymous Ticket,2022-05,2022-05,2022,2022Q4,2022
6/1/2022 16:00,532,Weekday,Fareless,Campus Connector 1,Anonymous Ticket,2022-06,2022-06,2022,2022Q4,2022
7/1/2022 16:00,478,Weekday,Fareless,Campus Connector 1,Anonymous Ticket,2022-07,2022-07,2022,2023Q1,2023
8/1/2022 16:00,528,Weekday,Fareless,Campus Connector 1,Anonymous Ticket,2022-08,2022-08,2022,2023Q1,2023
9/1/2022 16:00,1087,Weekday,Fareless,Campus Connector 1,Anonymous Ticket,2022-09,2022-09,2022,2023Q1,2023
10/1/2022 16:00,2805,Weekday,Fareless,Campus Connector 1,Anonymous Ticket,2022-10,2022-10,2022,2023Q2,2023
11/1/2022 16:00,2275,Weekday,Fareless,Campus Connector 1,Anonymous Ticket,2022-11,2022-11,2022,2023Q2,2023
12/1/2022 16:00,813,Weekday,Fareless,Campus Connector 1,Anonymous Ticket,2022-12,2022-12,2022,2023Q2,2023
1/1/2023 16:00,1702,Weekday,Fareless,Campus Connector 1,Anonymous Ticket,2023-01,2023-01,2023,2023Q3,2023
2/1/2023 16:00,2394,Weekday,Fareless,Campus Connector 1,Anonymous Ticket,2023-02,2023-02,2023,2023Q3,2023
3/1/2023 16:00,1433,Weekday,Fareless,Campus Connector 1,Anonymous Ticket,2023-03,2023-03,2023,2023Q3,2023
4/1/2023 16:00,2306,Weekday,Fareless,Campus Connector 1,Anonymous Ticket,2023-04,2023-04,2023,2023Q4,2023
5/1/2023 16:00,2317,Weekday,Fareless,Campus Connector 1,Anonymous Ticket,2023-05,2023-05,2023,2023Q4,2023
6/1/2023 16:00,1321,Weekday,Fareless,Campus Connector 1,Anonymous Ticket,2023-06,2023-06,2023,2023Q4,2023
7/1/2023 16:00,605,Weekday,Fareless,Campus Connector 1,Anonymous Ticket,2023-07,2023-07,2023,2024Q1,2024
8/1/2023 16:00,586,Weekday,Fareless,Campus Connector 1,Anonymous Ticket,2023-08,2023-08,2023,2024Q1,2024
9/1/2023 16:00,1362,Weekday,Fareless,Campus Connector 1,Anonymous Ticket,2023-09,2023-09,2023,2024Q1,2024
10/1/2023 16:00,4544,Weekday,Fareless,Campus Connector 1,Anonymous Ticket,2023-10,2023-10,2023,2024Q2,2024
11/1/2023 16:00,3363,Weekday,Fareless,Campus Connector 1,Anonymous Ticket,2023-11,2023-11,2023,2024Q2,2024
12/1/2023 16:00,1038,Weekday,Fareless,Campus Connector 1,Anonymous Ticket,2023-12,2023-12,2023,2024Q2,2024
12/1/2021 16:00,439,Weekday,Fareless,Campus Connector 2,Anonymous Ticket,2021-12,2021-12,2021,2022Q2,2022
1/1/2022 16:00,823,Weekday,Fareless,Campus Connector 2,Anonymous Ticket,2022-01,2022-01,2022,2022Q3,2022
2/1/2022 16:00,865,Weekday,Fareless,Campus Connector 2,Anonymous Ticket,2022-02,2022-02,2022,2022Q3,2022
3/1/2022 16:00,819,Weekday,Fareless,Campus Connector 2,Anonymous Ticket,2022-03,2022-03,2022,2022Q3,2022
4/1/2022 16:00,949,Weekday,Fareless,Campus Connector 2,Anonymous Ticket,2022-04,2022-04,2022,2022Q4,2022
5/1/2022 16:00,973,Weekday,Fareless,Campus Connector 2,Anonymous Ticket,2022-05,2022-05,2022,2022Q4,2022
6/1/2022 16:00,690,Weekday,Fareless,Campus Connector 2,Anonymous Ticket,2022-06,2022-06,2022,2022Q4,2022
7/1/2022 16:00,601,Weekday,Fareless,Campus Connector 2,Anonymous Ticket,2022-07,2022-07,2022,2023Q1,2023
8/1/2022 16:00,544,Weekday,Fareless,Campus Connector 2,Anonymous Ticket,2022-08,2022-08,2022,2023Q1,2023
9/1/2022 16:00,1086,Weekday,Fareless,Campus Connector 2,Anonymous Ticket,2022-09,2022-09,2022,2023Q1,2023
10/1/2022 16:00,2096,Weekday,Fareless,Campus Connector 2,Anonymous Ticket,2022-10,2022-10,2022,2023Q2,2023
11/1/2022 16:00,1414,Weekday,Fareless,Campus Connector 2,Anonymous Ticket,2022-11,2022-11,2022,2023Q2,2023
12/1/2022 16:00,690,Weekday,Fareless,Campus Connector 2,Anonymous Ticket,2022-12,2022-12,2022,2023Q2,2023
1/1/2023 16:00,1118,Weekday,Fareless,Campus Connector 2,Anonymous Ticket,2023-01,2023-01,2023,2023Q3,2023
2/1/2023 16:00,1584,Weekday,Fareless,Campus Connector 2,Anonymous Ticket,2023-02,2023-02,2023,2023Q3,2023
3/1/2023 16:00,1090,Weekday,Fareless,Campus Connector 2,Anonymous Ticket,2023-03,2023-03,2023,2023Q3,2023
4/1/2023 16:00,1563,Weekday,Fareless,Campus Connector 2,Anonymous Ticket,2023-04,2023-04,2023,2023Q4,2023
5/1/2023 16:00,1750,Weekday,Fareless,Campus Connector 2,Anonymous Ticket,2023-05,2023-05,2023,2023Q4,2023
6/1/2023 16:00,965,Weekday,Fareless,Campus Connector 2,Anonymous Ticket,2023-06,2023-06,2023,2023Q4,2023
7/1/2023 16:00,511,Weekday,Fareless,Campus Connector 2,Anonymous Ticket,2023-07,2023-07,2023,2024Q1,2024
